identifiantStation;nomStation;codeLigne;sensLigne;heureEstimeeDepart;dateModification;cleModification;cleTri
TRANSPOLE:StopPointRef:BP:4628:LOC;FACHES EGLISE;L7;CTRE COMMERCIAL;2021-03-06T00:13:27+01:00;2021-03-05T23:38:55+01:00;TRANSPOLE:ItemId::472929:LOC;CTRE COMMERCIAL/FACHES EGLISE/2021-03-06T00:13:27.000+01:00
TRANSPOLE:StopPointRef:BP:4614:LOC;FACHES MAIRIE;L7;CTRE COMMERCIAL;2021-03-05T23:38:08+01:00;2021-03-05T23:20:54+01:00;TRANSPOLE:ItemId::471834:LOC;CTRE COMMERCIAL/FACHES MAIRIE/2021-03-05T23:38:08.000+01:00
TRANSPOLE:StopPointRef:BP:4614:LOC;FACHES MAIRIE;L7;CTRE COMMERCIAL;2021-03-06T00:07:01+01:00;2021-03-05T23:38:55+01:00;TRANSPOLE:ItemId::472922:LOC;CTRE COMMERCIAL/FACHES MAIRIE/2021-03-06T00:07:01.000+01:00
TRANSPOLE:StopPointRef:BP:4614:LOC;FACHES MAIRIE;L7;CTRE COMMERCIAL;2021-03-06T00:38:35+01:00;2021-03-06T00:10:44+01:00;TRANSPOLE:ItemId::471870:LOC;CTRE COMMERCIAL/FACHES MAIRIE/2021-03-06T00:38:35.000+01:00
TRANSPOLE:StopPointRef:BP:5587:LOC;FAIDHERBE;L1;CTRE COMMERCIAL;2021-03-05T23:20:36+01:00;2021-03-05T23:05:44+01:00;TRANSPOLE:ItemId::440606:LOC;CTRE COMMERCIAL/FAIDHERBE/2021-03-05T23:20:36.000+01:00
TRANSPOLE:StopPointRef:BP:5587:LOC;FAIDHERBE;L1;CTRE COMMERCIAL;2021-03-05T23:49:33+01:00;2021-03-05T23:39:44+01:00;TRANSPOLE:ItemId::441306:LOC;CTRE COMMERCIAL/FAIDHERBE/2021-03-05T23:49:33.000+01:00
TRANSPOLE:StopPointRef:BP:5587:LOC;FAIDHERBE;L1;CTRE COMMERCIAL;2021-03-06T00:24:09+01:00;2021-03-05T23:48:14+01:00;TRANSPOLE:ItemId::439424:LOC;CTRE COMMERCIAL/FAIDHERBE/2021-03-06T00:24:09.000+01:00
TRANSPOLE:StopPointRef:BP:5558:LOC;FAURE;L1;CTRE COMMERCIAL;2021-03-05T23:41:53+01:00;2021-03-05T23:13:44+01:00;TRANSPOLE:ItemId::441300:LOC;CTRE COMMERCIAL/FAURE/2021-03-05T23:41:53.000+01:00
TRANSPOLE:StopPointRef:BP:5558:LOC;FAURE;L1;CTRE COMMERCIAL;2021-03-06T00:18:31+01:00;2021-03-06T00:11:14+01:00;TRANSPOLE:ItemId::439418:LOC;CTRE COMMERCIAL/FAURE/2021-03-06T00:18:31.000+01:00
TRANSPOLE:StopPointRef:BP:596:LOC;FOCH;L1;CTRE COMMERCIAL;2021-03-05T23:16:39+01:00;2021-03-05T23:07:29+01:00;TRANSPOLE:ItemId::440602:LOC;CTRE COMMERCIAL/FOCH/2021-03-05T23:16:39.000+01:00
TRANSPOLE:StopPointRef:BP:596:LOC;FOCH;L1;CTRE COMMERCIAL;2021-03-05T23:44:34+01:00;2021-03-05T23:36:59+01:00;TRANSPOLE:ItemId::441302:LOC;CTRE COMMERCIAL/FOCH/2021-03-05T23:44:34.000+01:00
TRANSPOLE:StopPointRef:BP:596:LOC;FOCH;L1;CTRE COMMERCIAL;2021-03-06T00:19:55+01:00;2021-03-05T23:44:14+01:00;TRANSPOLE:ItemId::439420:LOC;CTRE COMMERCIAL/FOCH/2021-03-06T00:19:55.000+01:00
TRANSPOLE:StopPointRef:BP:5718:LOC;GASTON BERGER;L1;CTRE COMMERCIAL;2021-03-05T23:34:22+01:00;2021-03-05T23:25:44+01:00;TRANSPOLE:ItemId::440617:LOC;CTRE COMMERCIAL/GASTON BERGER/2021-03-05T23:34:22.000+01:00
TRANSPOLE:StopPointRef:BP:5718:LOC;GASTON BERGER;L1;CTRE COMMERCIAL;2021-03-06T00:06:26+01:00;2021-03-05T23:43:44+01:00;TRANSPOLE:ItemId::441317:LOC;CTRE COMMERCIAL/GASTON BERGER/2021-03-06T00:06:26.000+01:00
TRANSPOLE:StopPointRef:BP:5718:LOC;GASTON BERGER;L1;CTRE COMMERCIAL;2021-03-06T00:40:46+01:00;2021-03-05T23:34:44+01:00;TRANSPOLE:ItemId::439435:LOC;CTRE COMMERCIAL/GASTON BERGER/2021-03-06T00:40:46.000+01:00
TRANSPOLE:StopPointRef:BP:3813:LOC;GHESQUIERE;L1;CTRE COMMERCIAL;2021-03-06T00:10:46+01:00;2021-03-05T22:59:14+01:00;TRANSPOLE:ItemId::439409:LOC;CTRE COMMERCIAL/GHESQUIERE/2021-03-06T00:10:46.000+01:00
TRANSPOLE:StopPointRef:BP:4922:LOC;GOUNOD;L1;CTRE COMMERCIAL;2021-03-05T23:26:19+01:00;2021-03-05T23:16:29+01:00;TRANSPOLE:ItemId::435625:LOC;CTRE COMMERCIAL/GOUNOD/2021-03-05T23:26:19.000+01:00
TRANSPOLE:StopPointRef:BP:4922:LOC;GOUNOD;L1;CTRE COMMERCIAL;2021-03-05T23:48:31+01:00;2021-03-05T23:34:14+01:00;TRANSPOLE:ItemId::440628:LOC;CTRE COMMERCIAL/GOUNOD/2021-03-05T23:48:31.000+01:00
TRANSPOLE:StopPointRef:BP:4922:LOC;GOUNOD;L1;CTRE COMMERCIAL;2021-03-06T00:20:39+01:00;2021-03-06T00:07:44+01:00;TRANSPOLE:ItemId::441328:LOC;CTRE COMMERCIAL/GOUNOD/2021-03-06T00:20:39.000+01:00
TRANSPOLE:StopPointRef:BP:3036:LOC;GUESDE;L7;CTRE COMMERCIAL;2021-03-05T23:35:25+01:00;2021-03-05T23:32:14+01:00;TRANSPOLE:ItemId::471832:LOC;CTRE COMMERCIAL/GUESDE/2021-03-05T23:35:25.000+01:00
TRANSPOLE:StopPointRef:BP:3036:LOC;GUESDE;L7;CTRE COMMERCIAL;2021-03-06T00:04:54+01:00;2021-03-05T23:38:55+01:00;TRANSPOLE:ItemId::472920:LOC;CTRE COMMERCIAL/GUESDE/2021-03-06T00:04:54.000+01:00
TRANSPOLE:StopPointRef:BP:3036:LOC;GUESDE;L7;CTRE COMMERCIAL;2021-03-06T00:34:54+01:00;2021-03-05T23:19:29+01:00;TRANSPOLE:ItemId::471868:LOC;CTRE COMMERCIAL/GUESDE/2021-03-06T00:34:54.000+01:00
TRANSPOLE:StopPointRef:BP:4186:LOC;HOCHE;L7;CTRE COMMERCIAL;2021-03-05T23:37:29+01:00;2021-03-05T23:19:44+01:00;TRANSPOLE:ItemId::471833:LOC;CTRE COMMERCIAL/HOCHE/2021-03-05T23:37:29.000+01:00
TRANSPOLE:StopPointRef:BP:4186:LOC;HOCHE;L7;CTRE COMMERCIAL;2021-03-06T00:05:59+01:00;2021-03-05T23:38:55+01:00;TRANSPOLE:ItemId::472921:LOC;CTRE COMMERCIAL/HOCHE/2021-03-06T00:05:59.000+01:00
TRANSPOLE:StopPointRef:BP:4186:LOC;HOCHE;L7;CTRE COMMERCIAL;2021-03-06T00:35:59+01:00;2021-03-05T23:19:29+01:00;TRANSPOLE:ItemId::471869:LOC;CTRE COMMERCIAL/HOCHE/2021-03-06T00:35:59.000+01:00
TRANSPOLE:StopPointRef:BP:3053:LOC;JB LEBAS;L1;CTRE COMMERCIAL;2021-03-05T23:32:19+01:00;2021-03-05T23:18:14+01:00;TRANSPOLE:ItemId::440613:LOC;CTRE COMMERCIAL/JB LEBAS/2021-03-05T23:32:19.000+01:00
TRANSPOLE:StopPointRef:BP:3053:LOC;JB LEBAS;L1;CTRE COMMERCIAL;2021-03-06T00:00:16+01:00;2021-03-05T23:49:14+01:00;TRANSPOLE:ItemId::441313:LOC;CTRE COMMERCIAL/JB LEBAS/2021-03-06T00:00:16.000+01:00
TRANSPOLE:StopPointRef:BP:3053:LOC;JB LEBAS;L1;CTRE COMMERCIAL;2021-03-06T00:36:16+01:00;2021-03-05T23:12:44+01:00;TRANSPOLE:ItemId::439431:LOC;CTRE COMMERCIAL/JB LEBAS/2021-03-06T00:36:16.000+01:00
TRANSPOLE:StopPointRef:BP:3834:LOC;JEAN JAURES;L1;CTRE COMMERCIAL;2021-03-05T23:36:18+01:00;2021-03-05T23:24:26+01:00;TRANSPOLE:ItemId::440619:LOC;CTRE COMMERCIAL/JEAN JAURES/2021-03-05T23:36:18.000+01:00
TRANSPOLE:StopPointRef:BP:3834:LOC;JEAN JAURES;L1;CTRE COMMERCIAL;2021-03-06T00:08:33+01:00;2021-03-06T00:06:14+01:00;TRANSPOLE:ItemId::441319:LOC;CTRE COMMERCIAL/JEAN JAURES/2021-03-06T00:08:33.000+01:00
TRANSPOLE:StopPointRef:BP:3834:LOC;JEAN JAURES;L1;CTRE COMMERCIAL;2021-03-06T00:42:26+01:00;2021-03-05T23:12:44+01:00;TRANSPOLE:ItemId::439437:LOC;CTRE COMMERCIAL/JEAN JAURES/2021-03-06T00:42:26.000+01:00
TRANSPOLE:StopPointRef:BP:1713:LOC;JEAN ROSTAND;L7;CTRE COMMERCIAL;2021-03-05T23:15:43+01:00;2021-03-05T23:06:44+01:00;TRANSPOLE:ItemId::472894:LOC;CTRE COMMERCIAL/JEAN ROSTAND/2021-03-05T23:15:43.000+01:00
