idhor;iddesserte;arriveetheorique;departtheorique;arrivee;depart;fiable;ts_maj;mnemoligne;nomligne;dest;codeparcours;ordre;mnemoarret;nomarret;numarret;coordonnees
268442862;268609041;2021-03-08T09:30:00+01:00;2021-03-08T09:30:00+01:00;2021-03-08T09:30:07+01:00;2021-03-08T09:30:07+01:00;F;2021-03-08T09:31:21+01:00;02;ST SYLVAIN BANCHAIS <>TRELAZE;TRELAZE QUANTINIERE;ST SYLVAIN > TRELAZE 9.0;8092;SEPSONET;SEPT SONNETTES;12415;47.486054,-0.51480986
268481763;269132318;2021-03-08T09:27:00+01:00;2021-03-08T09:27:00+01:00;2021-03-08T09:29:34+01:00;2021-03-08T09:29:34+01:00;F;2021-03-08T09:31:21+01:00;10;ST LEZIN SORGES <> SCHWEITZER;SORGES;SCHWEITZER > SORGES 9.0;9919;BEAUM-E;BEAUMANOIR;3588;47.4514,-0.51079227
268443487;268575021;2021-03-08T09:30:00+01:00;2021-03-08T09:30:00+01:00;2021-03-08T09:30:08+01:00;2021-03-08T09:30:32+01:00;F;2021-03-08T09:31:41+01:00;02;ST SYLVAIN BANCHAIS <>TRELAZE;ST SYLVAIN GAUGUIN;TRELAZE > ST SYLVAIN 9.0;14249;SEPSON-E;SEPT SONNETTES;26591;47.485759,-0.51507293
268449663;268676611;2021-03-08T09:29:39+01:00;2021-03-08T09:29:39+01:00;2021-03-08T09:30:12+01:00;2021-03-08T09:30:12+01:00;F;2021-03-08T09:31:41+01:00;03;MURS ERIGNE <> ADEZIERE SALETTE;MURS ERIGNE;ADEZIERE > MURS 9.0;592;LA BOISS;LA BOISSIERE;15667;47.504783,-0.59993626
268455911;268739120;2021-03-08T09:15:06+01:00;2021-03-08T09:15:06+01:00;2021-03-08T09:30:13+01:00;2021-03-08T09:30:13+01:00;F;2021-03-08T09:31:41+01:00;04;BEAUCOUZE <> ST BARTHELEMY;BEAUCOUZE L'ATOLL;ST BARTH > L'ATOLL 9.0;15742;GRANBE-E;GRANGE AUX BELLES;1713;47.47667,-0.62832472
268500054;269455373;2021-03-08T09:29:50+01:00;2021-03-08T09:29:50+01:00;2021-03-08T09:29:44+01:00;2021-03-08T09:30:12+01:00;F;2021-03-08T09:31:41+01:00;A;ARDENNE <> ROSERAIE;ANGERS ROSERAIE;ARD Voie 1 -> ARO Voie 2 par HDV;5885;1HOPA;CHU - HOPITAL;24731;47.481486,-0.55385285
268437024;268512529;2021-03-08T09:27:02+01:00;2021-03-08T09:27:02+01:00;2021-03-08T09:29:09+01:00;2021-03-08T09:29:44+01:00;F;2021-03-08T09:31:01+01:00;01;BELLE BEILLE <> MONPLAISIR;MONPLAISIR;BELLE-BEILLE > MONPLAISIR 1.1;5358;REPUBLIQ;REPUBLIQUE;30691;47.471068,-0.55400428
268460990;268709634;2021-03-08T09:29:43+01:00;2021-03-08T09:29:43+01:00;2021-03-08T09:29:52+01:00;2021-03-08T09:29:52+01:00;F;2021-03-08T09:31:01+01:00;04;BEAUCOUZE <> ST BARTHELEMY;SAINT BARTHELEMY;BEAUCOUZE > ST BARTH 9.0;240;CHANTERI;CHANTERIE;24849;47.470935,-0.62800546
268465752;268775433;2021-03-08T09:28:18+01:00;2021-03-08T09:28:18+01:00;2021-03-08T09:29:44+01:00;2021-03-08T09:29:44+01:00;F;2021-03-08T09:31:01+01:00;05;CIRCULAIRE VERNEAU GARE EUROPE;CIRCULAIRE SENS A;5A CIRCULAIRE 9.0;3482;GALLIENI;GALLIENI PL EUROPE;16963;47.486171,-0.52901079
268481211;269131275;2021-03-08T09:27:20+01:00;2021-03-08T09:27:20+01:00;2021-03-08T09:29:16+01:00;2021-03-08T09:29:41+01:00;F;2021-03-08T09:31:01+01:00;10;ST LEZIN SORGES <> SCHWEITZER;TRELAZE SAINT LEZIN;SCHWEITZER > ST LEZIN 9.0;3480;STAUBI-E;FOCH ST AUBIN;31700;47.468119,-0.55099029
268487346;269163781;2021-03-08T09:28:00+01:00;2021-03-08T09:28:00+01:00;2021-03-08T09:29:41+01:00;2021-03-08T09:29:43+01:00;F;2021-03-08T09:31:01+01:00;11;LAC MAINE <> STE GEMMES CL ANJOU;L'HOIRIE LAC DE MAINE;CLINIQUE > L'HOIRIE 9.0;902;APPENTIS;APPENTIS;30879;47.445483,-0.54623417
268488926;269267465;2021-03-08T09:29:21+01:00;2021-03-08T09:29:21+01:00;2021-03-08T09:29:47+01:00;2021-03-08T09:29:53+01:00;F;2021-03-08T09:31:01+01:00;12;M-MARCILLE <> ST AUBIN LA SALLE;MOUL MARCILLE par TRELAZE;ST AUBIN > M. MARCILLE 1.1;2902;VANDEL;VANDELLANT;63584;47.478034,-0.52100536
268443486;268575020;2021-03-08T09:29:15+01:00;2021-03-08T09:29:15+01:00;2021-03-08T09:29:22+01:00;2021-03-08T09:29:22+01:00;F;2021-03-08T09:30:41+01:00;02;ST SYLVAIN BANCHAIS <>TRELAZE;ST SYLVAIN GAUGUIN;TRELAZE > ST SYLVAIN 9.0;14052;SOLELE-E;SOLEIL LEVANT;26456;47.484443,-0.51735263
268453672;268676635;2021-03-08T09:30:00+01:00;2021-03-08T09:30:00+01:00;2021-03-08T09:29:15+01:00;2021-03-08T09:29:28+01:00;F;2021-03-08T09:30:41+01:00;03;MURS ERIGNE <> ADEZIERE SALETTE;MURS ERIGNE;ADEZIERE > MURS 9.0;7857;SAICRO-E;SAINTE CROIX;20081;47.469875,-0.55492185
